rubric_id,rubric_url,category_id,category_url
statCom_libro3_rubrica65,https://statutiascoli.it/statuti.html?id=1_3_66,donne,https://statutiascoli.it/categorie.html?id=donne
statCom_libro3_rubrica65,https://statutiascoli.it/statuti.html?id=1_3_66,reati,https://statutiascoli.it/categorie.html?id=reati
statCom_libro3_rubrica66,https://statutiascoli.it/statuti.html?id=1_3_67,donne,https://statutiascoli.it/categorie.html?id=donne
statCom_libro3_rubrica66,https://statutiascoli.it/statuti.html?id=1_3_67,produzione,https://statutiascoli.it/categorie.html?id=produzione
statCom_libro3_rubrica67,https://statutiascoli.it/statuti.html?id=1_3_68,donne,https://statutiascoli.it/categorie.html?id=donne
statCom_libro3_rubrica67,https://statutiascoli.it/statuti.html?id=1_3_68,morte,https://statutiascoli.it/categorie.html?id=morte
statCom_libro3_rubrica68,https://statutiascoli.it/statuti.html?id=1_3_69,clero,https://statutiascoli.it/categorie.html?id=clero
statCom_libro3_rubrica70,https://statutiascoli.it/statuti.html?id=1_3_71,reati,https://statutiascoli.it/categorie.html?id=reati
statCom_libro3_rubrica75,https://statutiascoli.it/statuti.html?id=1_3_76,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statCom_libro3_rubrica75,https://statutiascoli.it/statuti.html?id=1_3_76,reati,https://statutiascoli.it/categorie.html?id=reati
statCom_libro3_rubrica77,https://statutiascoli.it/statuti.html?id=1_3_78,reati,https://statutiascoli.it/categorie.html?id=reati
statCom_libro3_rubrica80,https://statutiascoli.it/statuti.html?id=1_3_81,clero,https://statutiascoli.it/categorie.html?id=clero
statCom_libro3_rubrica80,https://statutiascoli.it/statuti.html?id=1_3_81,reati,https://statutiascoli.it/categorie.html?id=reati
statCom_libro3_rubrica82,https://statutiascoli.it/statuti.html?id=1_3_83,castelli,https://statutiascoli.it/categorie.html?id=castelli
statCom_libro3_rubrica83,https://statutiascoli.it/statuti.html?id=1_3_84,castelli,https://statutiascoli.it/categorie.html?id=castelli
statCom_libro3_rubrica84,https://statutiascoli.it/statuti.html?id=1_3_85,produzione,https://statutiascoli.it/categorie.html?id=produzione
statCom_libro3_rubrica85,https://statutiascoli.it/statuti.html?id=1_3_86,donne,https://statutiascoli.it/categorie.html?id=donne
statCom_libro3_rubrica85,https://statutiascoli.it/statuti.html?id=1_3_86,reati,https://statutiascoli.it/categorie.html?id=reati
statCom_libro3_rubrica86,https://statutiascoli.it/statuti.html?id=1_3_87,sicurezza,https://statutiascoli.it/categorie.html?id=sicurezza
statCom_libro3_rubrica93,https://statutiascoli.it/statuti.html?id=1_3_94,clero,https://statutiascoli.it/categorie.html?id=clero
statCom_libro3_rubrica94,https://statutiascoli.it/statuti.html?id=1_3_95,morte,https://statutiascoli.it/categorie.html?id=morte
statCom_libro3_rubrica94,https://statutiascoli.it/statuti.html?id=1_3_95,sicurezza,https://statutiascoli.it/categorie.html?id=sicurezza
statCom_libro3_rubrica94,https://statutiascoli.it/statuti.html?id=1_3_95,violenza,https://statutiascoli.it/categorie.html?id=violenza
statCom_libro3_rubrica95,https://statutiascoli.it/statuti.html?id=1_3_96,morte,https://statutiascoli.it/categorie.html?id=morte
statCom_libro3_rubrica99,https://statutiascoli.it/statuti.html?id=1_3_100,violenza,https://statutiascoli.it/categorie.html?id=violenza
statCom_libro3_rubrica100,https://statutiascoli.it/statuti.html?id=1_3_101,morte,https://statutiascoli.it/categorie.html?id=morte
statCom_libro3_rubrica101,https://statutiascoli.it/statuti.html?id=1_3_102,violenza,https://statutiascoli.it/categorie.html?id=violenza
statCom_libro3_rubrica113,https://statutiascoli.it/statuti.html?id=1_3_114,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statCom_libro3_rubrica116,https://statutiascoli.it/statuti.html?id=1_3_117,sicurezza,https://statutiascoli.it/categorie.html?id=sicurezza
statCom_libro4_rubrica4,https://statutiascoli.it/statuti.html?id=1_4_5,sicurezza,https://statutiascoli.it/categorie.html?id=sicurezza
statCom_libro4_rubrica6,https://statutiascoli.it/statuti.html?id=1_4_7,animali,https://statutiascoli.it/categorie.html?id=animali
statCom_libro4_rubrica12,https://statutiascoli.it/statuti.html?id=1_4_13,universita,https://statutiascoli.it/categorie.html?id=universita
statCom_libro4_rubrica13,https://statutiascoli.it/statuti.html?id=1_4_14,universita,https://statutiascoli.it/categorie.html?id=universita
statCom_libro4_rubrica15,https://statutiascoli.it/statuti.html?id=1_4_16,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
