id,url,label,date,authority_uri,note,text_units
festaNatale,https://statutiascoli.it/calendario.html?id=festaNatale,Natale,--12-25,https://www.wikidata.org/wiki/Q19809,,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica3; url=https://statutiascoli.it/statuti.html?id=2_2_4 | id=statPop_libro2_rubrica5; url=https://statutiascoli.it/statuti.html?id=2_2_6
festaSanSilvestro,https://statutiascoli.it/calendario.html?id=festaSanSilvestro,San Silvestro,--12-31,https://www.wikidata.org/wiki/Q47149,"Silvestro I, 33° papa di Roma, †337",id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaMariaMadre,https://statutiascoli.it/calendario.html?id=festaMariaMadre,Maria madre di Dio,--01-01,https://www.wikidata.org/wiki/Q600889,,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica3; url=https://statutiascoli.it/statuti.html?id=2_2_4
festaAssunzioneMaria,https://statutiascoli.it/calendario.html?id=festaAssunzioneMaria,Assunzione di Maria,--08-15,https://www.wikidata.org/wiki/Q162691,,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro1_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_1_3 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica3; url=https://statutiascoli.it/statuti.html?id=2_2_4 | id=statPop_libro2_rubrica6; url=https://statutiascoli.it/statuti.html?id=2_2_7
festaImmacolataConcezione,https://statutiascoli.it/calendario.html?id=festaImmacolataConcezione,Immacolata Concezione,--12-08,https://www.wikidata.org/wiki/Q185606,,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica3; url=https://statutiascoli.it/statuti.html?id=2_2_4
festaSanFilippo,https://statutiascoli.it/calendario.html?id=festaSanFilippo,San Filippo,--05-01,https://www.wikidata.org/wiki/Q43675,"Apostolo e martire, onorato con s. Giacomo il Minore, I sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanGiacomoMinore,https://statutiascoli.it/calendario.html?id=festaSanGiacomoMinore,San Giacomo,--05-01,https://www.wikidata.org/wiki/Q3245490,"Giacomo il Minore, apostolo e vescovo di Gerusalemme, onorato con s. Filippo, †62 (martirio)",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanPietro,https://statutiascoli.it/calendario.html?id=festaSanPietro,San Pietro,--06-29,https://www.wikidata.org/wiki/Q33923,"Simon Pietro, apostolo e primo papa di Roma, onorato con s. Paolo, †67 (martirio)",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanPaolo,https://statutiascoli.it/calendario.html?id=festaSanPaolo,San Paolo,--06-29,https://www.wikidata.org/wiki/Q9200,"Paolo di Tarso, riconosciuto come apostolo anche se non facente parte del gruppo dei 12 scelti da Gesù, onorato con s. Pietro, †67 (martirio)",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanBarnaba,https://statutiascoli.it/calendario.html?id=festaSanBarnaba,San Barnaba,--06-11,https://www.wikidata.org/wiki/Q185856,"Giuseppe di Cipro, riconosciuto come apostolo anche se non facente parte del gruppo dei 12 scelti da Gesù, martire a Cipro, I sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanSimone,https://statutiascoli.it/calendario.html?id=festaSanSimone,San Simone,--10-28,https://www.wikidata.org/wiki/Q12871,"Lo Zelota, apostolo, onorato con s. Giuda Taddeo, I sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanGiudaTaddeo,https://statutiascoli.it/calendario.html?id=festaSanGiudaTaddeo,San Giuda Taddeo,--10-28,https://www.wikidata.org/wiki/Q43945,"Apostolo, onorato con s. Simone, I sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanMattia,https://statutiascoli.it/calendario.html?id=festaSanMattia,San Mattia,--02-24,https://www.wikidata.org/wiki/Q44020,"Apostolo, I sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanGiacomoMaggiore,https://statutiascoli.it/calendario.html?id=festaSanGiacomoMaggiore,San Giacomo,--07-25,https://www.wikidata.org/wiki/Q43999,"Giacomo il Maggiore, apostolo e martire, †44",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
